#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
6887411|2016-06-30T01:45:24.990000|44.5263|10.201|23.3|SURVEY-INGV||||ML|2.2|--|Parma
6887651|2016-06-30T03:10:06.410000|42.7185|13.4152|22.1|SURVEY-INGV||||ML|2.4|--|Ascoli Piceno
6887831|2016-06-30T03:53:00.970000|38.1418|15.1682|8.3|SURVEY-INGV||||ML|2.0|--|Messina
6891581|2016-07-01T04:51:14.880000|38.1297|15.1627|10.0|SURVEY-INGV||||ML|2.4|--|Messina
6894571|2016-07-02T02:29:53.510000|38.367|15.3863|121.1|SURVEY-INGV||||ML|2.3|--|Costa Siciliana nord-orientale (Messina)
6895711|2016-07-02T08:04:38.830000|37.1082|19.1493|36.1|SURVEY-INGV||||ML|3.2|--|Mar Ionio Meridionale (MARE)
6896311|2016-07-02T12:11:15.150000|37.6575|15.8083|8.8|SURVEY-INGV||||ML|2.1|--|Costa Calabra sud-orientale (Reggio di Calabria)
6897251|2016-07-02T17:06:51.120000|44.5357|10.1953|22.6|SURVEY-INGV||||ML|2.2|--|Parma
6899381|2016-07-03T08:28:46.740000|44.5252|10.522|25.5|SURVEY-INGV||||ML|2.2|--|Reggio nell'Emilia
6899731|2016-07-03T10:14:13.840000|41.7488|15.1802|10.0|SURVEY-INGV||||ML|2.4|--|Foggia
6900261|2016-07-03T15:44:44.430000|41.8705|14.1467|10.8|SURVEY-INGV||||ML|3.0|--|L'Aquila
6901161|2016-07-03T22:53:12.030000|43.1237|11.0118|8.9|SURVEY-INGV||||ML|2.7|--|Grosseto
6902101|2016-07-04T10:22:02.630000|38.8318|15.1342|246.5|SURVEY-INGV||||ML|3.3|--|Isole Eolie (Messina)
6902271|2016-07-04T11:37:22.790000|44.9287|11.2905|9.1|BULLETIN-INGV||||ML|3.5|--|Mantova
6903061|2016-07-04T18:37:01.300000|44.8553|11.3487|10.0|SURVEY-INGV||||ML|2.1|--|Modena
6903531|2016-07-04T23:37:09.830000|40.2092|16.2613|27.7|SURVEY-INGV||||ML|2.0|--|Potenza
6904221|2016-07-05T05:54:37.730000|37.4973|17.0553|40.7|BULLETIN-INGV||||ML|3.9|--|Mar Ionio Meridionale (MARE)
6907011|2016-07-05T22:53:19.600000|45.2738|7.6323|35.6|SURVEY-INGV||||ML|2.7|--|Torino
6909171|2016-07-06T01:31:18.000000|37.818|15.117|1.6|SURVEY-INGV-CT||||ML|2.5|--|Catania
6908391|2016-07-06T07:27:00.310000|38.0443|15.0573|7.8|SURVEY-INGV||||ML|2.0|--|Messina
6908571|2016-07-06T07:51:41.730000|38.035|15.0617|8.5|SURVEY-INGV||||ML|2.4|--|Messina
6911631|2016-07-06T17:44:25.800000|38.3138|16.0867|17.0|SURVEY-INGV||||ML|2.0|--|Reggio di Calabria
6911751|2016-07-06T18:56:24.780000|38.0497|15.0593|8.3|SURVEY-INGV||||ML|2.3|--|Messina
6912091|2016-07-06T22:10:22.570000|40.8637|15.1883|11.1|SURVEY-INGV||||ML|2.1|--|Avellino
6913001|2016-07-07T10:25:53.970000|44.1542|9.9168|9.4|SURVEY-INGV||||ML|2.7|--|La Spezia
6916061|2016-07-08T15:19:16.380000|44.0518|11.5147|8.6|SURVEY-INGV||||ML|2.4|--|Firenze
6916141|2016-07-08T15:27:23.710000|44.0558|11.5075|8.5|SURVEY-INGV||||ML|2.1|--|Firenze
6919851|2016-07-09T17:37:52.860000|41.6537|16.78|9.0|SURVEY-INGV||||ML|2.7|--|Adriatico Meridionale (MARE)
6920101|2016-07-09T20:44:53.360000|41.6788|16.8148|10.0|SURVEY-INGV||||ML|2.4|--|Adriatico Meridionale (MARE)
6920821|2016-07-10T00:37:06.740000|41.0957|15.2228|18.4|SURVEY-INGV||||ML|3.0|--|Avellino
6923021|2016-07-10T14:29:15.850000|45.329|6.6992|6.5|SURVEY-INGV||||ML|2.6|--|Confine Italia-Francia (FRANCIA)
6924821|2016-07-11T02:48:20.540000|38.4328|15.1297|141.2|SURVEY-INGV||||ML|2.3|--|Isole Eolie (Messina)
6926081|2016-07-11T11:16:02.800000|37.5462|14.7742|10.6|SURVEY-INGV||||ML|2.6|--|Enna
6927291|2016-07-11T19:36:04.380000|45.6283|10.1413|5.3|SURVEY-INGV||||ML|2.4|--|Brescia
6927881|2016-07-12T05:19:01.690000|43.6542|12.9112|37.0|SURVEY-INGV||||ML|2.7|--|Pesaro e Urbino
6929171|2016-07-12T12:51:31.520000|39.1232|15.3763|276.2|SURVEY-INGV||||ML|2.7|--|Tirreno Meridionale (MARE)
6929221|2016-07-12T12:58:35.750000|44.5243|10.2093|22.3|SURVEY-INGV||||ML|2.2|--|Parma
6931751|2016-07-13T09:07:14.600000|43.1268|11.0218|9.2|SURVEY-INGV||||ML|2.2|--|Grosseto
6931831|2016-07-13T09:17:06.510000|43.8595|10.2578|4.7|SURVEY-INGV||||ML|2.5|--|Lucca
6932461|2016-07-13T11:42:10.620000|44.2637|11.1037|50.3|SURVEY-INGV||||ML|2.5|--|Bologna
6933981|2016-07-13T20:53:42.240000|41.3323|14.6673|8.7|SURVEY-INGV||||ML|2.3|--|Benevento
6934261|2016-07-13T22:47:54.820000|43.5357|12.6168|9.1|SURVEY-INGV||||ML|2.0|--|Pesaro e Urbino
6934301|2016-07-13T23:47:35.490000|36.3757|13.3798|101.5|SURVEY-INGV||||ML|2.6|--|Canale di Sicilia meridionale (MARE)
6934341|2016-07-13T23:51:53.120000|36.1537|13.7237|10.0|SURVEY-INGV||||ML|2.2|--|Canale di Sicilia meridionale (MARE)
6935361|2016-07-14T10:01:27.870000|44.5385|10.1782|22.2|SURVEY-INGV||||ML|2.2|--|Parma
6938771|2016-07-15T19:04:48.560000|41.8212|15.999|26.9|SURVEY-INGV||||ML|2.4|--|Foggia
6938801|2016-07-15T20:06:00.040000|38.5332|15.5105|156.3|SURVEY-INGV||||ML|2.7|--|Tirreno Meridionale (MARE)
6938911|2016-07-15T23:20:27.670000|43.0692|12.7942|8.8|SURVEY-INGV||||ML|2.1|--|Perugia
6938981|2016-07-16T00:42:28.650000|42.8837|13.159|9.6|SURVEY-INGV||||ML|2.4|--|Macerata
6939031|2016-07-16T00:45:10.690000|42.8055|13.1557|9.9|SURVEY-INGV||||ML|2.0|--|Perugia
6939081|2016-07-16T02:36:40.040000|46.4253|7.125|11.0|SURVEY-INGV||||ML|2.3|--|Svizzera (SVIZZERA)
6939181|2016-07-16T04:54:53.800000|46.4368|7.1263|10.1|SURVEY-INGV||||ML|2.2|--|Svizzera (SVIZZERA)
6939391|2016-07-16T06:46:23.830000|38.6473|15.7193|74.5|SURVEY-INGV||||ML|2.4|--|Costa Calabra sud-occidentale (Catanzaro, Vibo Valentia, Reggio di Calabria)
6943941|2016-07-17T23:22:36.250000|38.466|13.6708|9.7|SURVEY-INGV||||ML|3.1|--|Tirreno Meridionale (MARE)
6946671|2016-07-18T23:27:27.240000|42.6208|13.1322|10.7|SURVEY-INGV||||ML|2.0|--|Rieti
6947251|2016-07-19T05:19:17.500000|43.8127|10.3685|10.9|SURVEY-INGV||||ML|2.0|--|Pisa
6947291|2016-07-19T05:26:58.300000|37.944|15.0298|27.1|SURVEY-INGV||||ML|2.0|--|Messina
6947861|2016-07-19T08:10:42.060000|37.889|15.0928|32.3|SURVEY-INGV||||ML|2.0|--|Catania
6949461|2016-07-19T22:36:49.570000|46.4195|13.0737|11.9|SURVEY-INGV||||ML|2.5|--|Udine
6951161|2016-07-20T10:26:59.230000|40.6282|15.482|5.8|SURVEY-INGV||||ML|2.2|--|Potenza
6951521|2016-07-20T11:58:06.650000|37.1088|15.6742|26.3|SURVEY-INGV||||ML|2.2|--|Costa Siracusana (Siracusa)
6953761|2016-07-21T04:45:51.550000|38.3462|15.2138|118.7|SURVEY-INGV||||ML|3.3|--|Costa Siciliana nord-orientale (Messina)
6954711|2016-07-21T11:59:11.990000|41.8277|13.0767|18.7|SURVEY-INGV||||ML|2.1|--|Frosinone
6956291|2016-07-22T03:57:28.810000|38.7997|14.862|321.6|SURVEY-INGV||||ML|3.3|--|Tirreno Meridionale (MARE)
6956401|2016-07-22T05:19:24.090000|42.4407|15.2997|85.6|SURVEY-INGV||||ML|2.7|--|Adriatico Centrale (MARE)
6957261|2016-07-22T10:20:00.250000|47.366|11.2212|7.3|SURVEY-INGV||||ML|2.2|--|Confine Austria-Germania (AUSTRIA, GERMANIA)
6957441|2016-07-22T11:28:22.730000|47.3047|11.2132|10.0|SURVEY-INGV||||ML|2.6|--|Confine Austria-Germania (AUSTRIA, GERMANIA)
6957591|2016-07-22T11:58:01.750000|47.3338|11.1973|9.5|SURVEY-INGV||||ML|3.1|--|Confine Austria-Germania (AUSTRIA, GERMANIA)
6958941|2016-07-22T21:35:03.350000|38.8885|15.6557|163.3|SURVEY-INGV||||ML|2.1|--|Tirreno Meridionale (MARE)
6959111|2016-07-22T22:35:32.570000|38.4808|15.4942|131.1|SURVEY-INGV||||ML|2.0|--|Tirreno Meridionale (MARE)
6959571|2016-07-23T03:18:59.910000|38.649|14.3625|8.9|SURVEY-INGV||||ML|2.0|--|Isole Eolie (Messina)
6963241|2016-07-24T13:12:16.510000|39.2965|15.2693|271.3|SURVEY-INGV||||ML|2.2|--|Tirreno Meridionale (MARE)
6963441|2016-07-24T14:52:52.620000|37.7003|14.9432|22.2|SURVEY-INGV||||ML|2.1|--|Catania
6964391|2016-07-24T19:35:59.530000|41.8068|15.7253|23.4|SURVEY-INGV||||ML|2.3|--|Foggia
6964631|2016-07-24T21:19:13.380000|40.7747|15.1927|8.9|SURVEY-INGV||||ML|2.2|--|Avellino
6964851|2016-07-25T02:27:43.570000|43.7355|7.5837|13.4|SURVEY-INGV||||ML|3.0|--|Costa Ligure Occidentale (Imperia)
6965421|2016-07-25T07:53:47.030000|38.5618|13.9753|11.6|SURVEY-INGV||||ML|2.0|--|Tirreno Meridionale (MARE)
6965581|2016-07-25T09:25:52.010000|37.1357|15.8943|33.9|SURVEY-INGV||||ML|2.3|--|Mar Ionio Meridionale (MARE)
6966131|2016-07-25T12:05:30.110000|47.3428|11.2143|9.1|SURVEY-INGV||||ML|3.3|--|Confine Austria-Germania (AUSTRIA, GERMANIA)
6967851|2016-07-25T19:01:23.830000|44.202|11.4217|8.6|SURVEY-INGV||||ML|2.5|--|Bologna
6969251|2016-07-26T10:20:43.320000|43.8407|12.3292|15.9|SURVEY-INGV||||ML|2.5|--|Pesaro e Urbino
6969771|2016-07-26T13:16:57.420000|38.2782|15.1827|120.1|SURVEY-INGV||||ML|2.1|--|Costa Siciliana nord-orientale (Messina)
6970081|2016-07-26T14:15:06.000000|38.35|14.88|11.0|SURVEY-INGV-CT||||ML|2.2|--|Isole Eolie (Messina)
6970891|2016-07-26T19:00:13.050000|36.5508|15.2257|10.0|SURVEY-INGV||||Md|2.1|--|Costa Siracusana (Siracusa)
6971101|2016-07-26T20:30:13.670000|41.7078|14.9235|12.6|SURVEY-INGV||||ML|2.0|--|Campobasso
6971841|2016-07-27T03:10:04.290000|44.0408|11.5112|4.5|SURVEY-INGV||||ML|2.1|--|Firenze
6974181|2016-07-27T15:23:09.220000|41.1453|15.2863|17.6|SURVEY-INGV||||ML|2.2|--|Foggia
6974511|2016-07-27T16:43:20.850000|44.4928|6.9305|11.1|SURVEY-INGV||||ML|2.0|--|Cuneo
